id,x_coord,y_coord,demand,start_time,end_time,service_time
0,7303,409,17,34,59,3
1,4963,3389,19,29,58,3
2,6679,2555,5,33,57,3
3,3286,1817,14,10,37,3
4,9756,9970,19,21,52,3
5,1538,3367,3,52,86,3
6,8734,5284,16,31,63,3
7,6832,2458,35,47,75,3
8,4320,8425,24,41,66,3
9,7511,761,8,11,38,3
10,3661,3541,6,46,84,3
11,9180,4450,40,32,58,3
12,5597,3018,43,19,44,3
13,5392,2106,1,29,62,3
14,9056,7949,1,10,39,3
15,3742,3717,16,46,77,3
16,1351,7527,42,25,55,3
17,5538,9222,22,53,85,3
18,1076,1951,26,18,45,3
19,3006,9992,31,24,50,3
20,9813,4329,53,16,47,3
21,8948,8103,1,10,33,3
22,199,630,1,23,55,3
23,2304,328,19,15,45,3
24,9658,1790,13,20,51,3
25,3586,110,34,26,62,3
26,5528,8587,2,51,90,3
27,9413,5418,55,38,72,3
28,803,9211,3,44,75,3
29,7477,5276,21,42,69,3
30,1636,4473,20,32,62,3
31,2919,4003,38,31,57,3
32,8945,1143,39,41,69,3
33,2105,2568,23,57,85,3
34,1542,2402,29,12,37,3
35,7733,7362,2,20,51,3
36,2551,5066,32,46,79,3
37,2643,2052,9,48,86,3
38,7290,8635,51,39,71,3
39,4989,2762,21,24,54,3
40,924,7607,18,31,56,3
41,8849,7903,2,47,83,3
42,8222,8879,12,36,71,3
43,6474,8453,18,43,75,3
44,2688,9946,18,31,63,3
45,6251,4671,19,15,38,3
46,6145,7616,17,14,38,3
47,3933,8006,22,53,80,3
48,2193,5828,60,34,66,3
49,2870,5188,29,42,73,3
50,8260,3656,17,44,66,3
51,308,7358,24,31,58,3
52,9385,1769,1,20,52,3
53,198,3701,12,14,44,3
54,143,2339,29,18,53,3
55,3663,636,19,46,80,3
56,8259,2362,5,58,94,3
57,1513,8755,1,39,71,3
58,9098,3775,44,10,43,3
59,9088,5223,53,56,81,3
60,3398,8196,1,50,86,3
61,2828,2582,22,39,68,3
62,1479,2731,1,15,44,3
63,7537,7268,17,53,86,3
64,9344,1983,11,17,50,3
65,7766,530,1,10,41,3
66,8070,8763,29,26,51,3
67,4291,1643,14,20,51,3
68,8946,9581,24,27,55,3
69,7725,4551,19,43,71,3
70,105,460,9,12,36,3
71,8369,6867,14,20,51,3
72,2943,7135,12,36,59,3
73,9380,6586,18,29,54,3
74,1277,5243,44,38,78,3
75,4059,3998,14,51,77,3
76,8148,431,1,32,58,3
77,1831,2717,16,25,54,3
78,6943,719,28,46,71,3
79,9910,7319,19,30,63,3
80,6765,8879,1,53,75,3
81,1550,6059,27,57,92,3
82,1737,8550,1,46,75,3
83,150,8541,19,27,57,3
84,772,6978,13,27,53,3
85,9303,2425,42,18,43,3
86,7234,2012,5,34,67,3
87,7656,539,25,27,54,3
88,1482,9247,7,37,67,3
89,3158,884,11,39,69,3
