id,x_coord,y_coord,demand,start_time,end_time,service_time
0,6958,8690,44,36,41,1
1,3737,9854,33,28,33,1
2,2006,7766,21,33,38,1
3,8881,7457,1,37,42,1
4,3318,4198,11,28,33,1
5,4282,6653,12,32,37,1
6,3090,260,3,14,19,1
7,7127,8807,1,35,40,1
8,3353,8599,31,13,18,1
9,669,3763,47,38,43,1
10,9052,9105,5,28,33,1
11,835,780,36,35,40,1
12,1680,1952,19,30,35,1
13,8513,2252,8,13,18,1
14,5819,9638,46,37,42,1
15,5967,9260,12,35,40,1
16,6439,5105,21,32,37,1
17,3465,7834,25,36,41,1
18,1492,3711,1,27,32,1
19,6928,4866,34,15,20,1
20,1782,1466,13,40,45,1
21,9329,2464,12,26,31,1
22,2152,6353,2,31,36,1
23,8941,835,39,31,36,1
24,2258,8644,37,32,37,1
25,9369,3894,57,21,26,1
26,6854,1034,45,29,34,1
27,7871,4192,17,29,34,1
28,6336,4629,36,32,37,1
29,2771,128,14,34,39,1
